Rama de actividad CNAE 2009;Sexo;Unidad;Periodo;Total
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2017T3;2,1
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2017T2;2,4
A Agricultura, ganadería, silvicultura y pesca;Mujeres;Porcentaje;2017T1;2,4
B Industrias extractivas;Ambos sexos;Porcentaje;2019T4;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2019T3;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2019T2;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2019T1;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2018T4;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2018T3;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2018T2;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2018T1;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2017T4;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2017T3;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2017T2;0,2
B Industrias extractivas;Ambos sexos;Porcentaje;2017T1;0,2
B Industrias extractivas;Hombres;Porcentaje;2019T4;0,3
B Industrias extractivas;Hombres;Porcentaje;2019T3;0,3
B Industrias extractivas;Hombres;Porcentaje;2019T2;0,3
B Industrias extractivas;Hombres;Porcentaje;2019T1;0,3
B Industrias extractivas;Hombres;Porcentaje;2018T4;0,3
B Industrias extractivas;Hombres;Porcentaje;2018T3;0,3
B Industrias extractivas;Hombres;Porcentaje;2018T2;0,3
B Industrias extractivas;Hombres;Porcentaje;2018T1;0,3
B Industrias extractivas;Hombres;Porcentaje;2017T4;0,3
B Industrias extractivas;Hombres;Porcentaje;2017T3;0,3
B Industrias extractivas;Hombres;Porcentaje;2017T2;0,3
B Industrias extractivas;Hombres;Porcentaje;2017T1;0,3
B Industrias extractivas;Mujeres;Porcentaje;2019T4;0,1
B Industrias extractivas;Mujeres;Porcentaje;2019T3;0,1
B Industrias extractivas;Mujeres;Porcentaje;2019T2;0,0
B Industrias extractivas;Mujeres;Porcentaje;2019T1;0,0
B Industrias extractivas;Mujeres;Porcentaje;2018T4;0,0
B Industrias extractivas;Mujeres;Porcentaje;2018T3;0,0
B Industrias extractivas;Mujeres;Porcentaje;2018T2;0,0
B Industrias extractivas;Mujeres;Porcentaje;2018T1;0,0
B Industrias extractivas;Mujeres;Porcentaje;2017T4;0,0
B Industrias extractivas;Mujeres;Porcentaje;2017T3;0,0
B Industrias extractivas;Mujeres;Porcentaje;2017T2;0,0
B Industrias extractivas;Mujeres;Porcentaje;2017T1;0,0
C Industria manufacturera;Ambos sexos;Porcentaje;2019T4;12,5
C Industria manufacturera;Ambos sexos;Porcentaje;2019T3;12,8
C Industria manufacturera;Ambos sexos;Porcentaje;2019T2;12,6
C Industria manufacturera;Ambos sexos;Porcentaje;2019T1;12,6
C Industria manufacturera;Ambos sexos;Porcentaje;2018T4;12,5
C Industria manufacturera;Ambos sexos;Porcentaje;2018T3;12,5
C Industria manufacturera;Ambos sexos;Porcentaje;2018T2;12,7
C Industria manufacturera;Ambos sexos;Porcentaje;2018T1;12,8
C Industria manufacturera;Ambos sexos;Porcentaje;2017T4;12,9
C Industria manufacturera;Ambos sexos;Porcentaje;2017T3;12,7
C Industria manufacturera;Ambos sexos;Porcentaje;2017T2;12,6
C Industria manufacturera;Ambos sexos;Porcentaje;2017T1;12,6
C Industria manufacturera;Hombres;Porcentaje;2019T4;16,7
C Industria manufacturera;Hombres;Porcentaje;2019T3;17,2
C Industria manufacturera;Hombres;Porcentaje;2019T2;16,9
C Industria manufacturera;Hombres;Porcentaje;2019T1;16,8
C Industria manufacturera;Hombres;Porcentaje;2018T4;16,9
C Industria manufacturera;Hombres;Porcentaje;2018T3;16,9
C Industria manufacturera;Hombres;Porcentaje;2018T2;17,2
C Industria manufacturera;Hombres;Porcentaje;2018T1;17,3
C Industria manufacturera;Hombres;Porcentaje;2017T4;17,6
C Industria manufacturera;Hombres;Porcentaje;2017T3;17,2
C Industria manufacturera;Hombres;Porcentaje;2017T2;17,2
C Industria manufacturera;Hombres;Porcentaje;2017T1;17,2
C Industria manufacturera;Mujeres;Porcentaje;2019T4;7,6
C Industria manufacturera;Mujeres;Porcentaje;2019T3;7,6
C Industria manufacturera;Mujeres;Porcentaje;2019T2;7,5
C Industria manufacturera;Mujeres;Porcentaje;2019T1;7,5
C Industria manufacturera;Mujeres;Porcentaje;2018T4;7,2
C Industria manufacturera;Mujeres;Porcentaje;2018T3;7,3
C Industria manufacturera;Mujeres;Porcentaje;2018T2;7,5
C Industria manufacturera;Mujeres;Porcentaje;2018T1;7,4
C Industria manufacturera;Mujeres;Porcentaje;2017T4;7,3
C Industria manufacturera;Mujeres;Porcentaje;2017T3;7,2
C Industria manufacturera;Mujeres;Porcentaje;2017T2;7,2
C Industria manufacturera;Mujeres;Porcentaje;2017T1;7,1
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2019T4;0,5
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2019T3;0,5
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2019T2;0,5
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2019T1;0,5
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2018T4;0,4
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2018T3;0,4
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2018T2;0,4
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2018T1;0,4
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2017T4;0,4
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2017T3;0,4
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2017T2;0,5
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Ambos sexos;Porcentaje;2017T1;0,5
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2019T4;0,6
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2019T3;0,6
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2019T2;0,6
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2019T1;0,6
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2018T4;0,5
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2018T3;0,6
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2018T2;0,5
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2018T1;0,6
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2017T4;0,6
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2017T3;0,6
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2017T2;0,7
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Hombres;Porcentaje;2017T1;0,7
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2019T4;0,3
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2019T3;0,2
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2019T2;0,3
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2019T1;0,3
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2018T4;0,3
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2018T3;0,3
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2018T2;0,2
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2018T1;0,2
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2017T4;0,2
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2017T3;0,2
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2017T2;0,2
D Suministro de energía eléctrica, gas, vapor y aire acondicionado;Mujeres;Porcentaje;2017T1;0,2
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2019T4;0,7
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2019T3;0,7
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2019T2;0,7
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2019T1;0,7
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2018T4;0,7
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2018T3;0,8
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2018T2;0,8
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2018T1;0,8
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2017T4;0,8
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2017T3;0,8
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2017T2;0,7
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Ambos sexos;Porcentaje;2017T1;0,7
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2019T4;1,0
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2019T3;1,1
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2019T2;1,1
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2019T1;1,1
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2018T4;1,1
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2018T3;1,2
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2018T2;1,2
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2018T1;1,2
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2017T4;1,1
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2017T3;1,1
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2017T2;1,1
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Hombres;Porcentaje;2017T1;1,1
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2019T4;0,4
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2019T3;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2019T2;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2019T1;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2018T4;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2018T3;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2018T2;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2018T1;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2017T4;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2017T3;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2017T2;0,3
E Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación;Mujeres;Porcentaje;2017T1;0,2
F Construcción;Ambos sexos;Porcentaje;2019T4;6,4
F Construcción;Ambos sexos;Porcentaje;2019T3;6,4
F Construcción;Ambos sexos;Porcentaje;2019T2;6,4
F Construcción;Ambos sexos;Porcentaje;2019T1;6,6
F Construcción;Ambos sexos;Porcentaje;2018T4;6,5
F Construcción;Ambos sexos;Porcentaje;2018T3;6,4
F Construcción;Ambos sexos;Porcentaje;2018T2;6,3
F Construcción;Ambos sexos;Porcentaje;2018T1;6,1
F Construcción;Ambos sexos;Porcentaje;2017T4;6,0
F Construcción;Ambos sexos;Porcentaje;2017T3;6,1
F Construcción;Ambos sexos;Porcentaje;2017T2;6,0
F Construcción;Ambos sexos;Porcentaje;2017T1;5,9
F Construcción;Hombres;Porcentaje;2019T4;10,9
F Construcción;Hombres;Porcentaje;2019T3;10,6
F Construcción;Hombres;Porcentaje;2019T2;10,8
F Construcción;Hombres;Porcentaje;2019T1;11,0
F Construcción;Hombres;Porcentaje;2018T4;10,9
F Construcción;Hombres;Porcentaje;2018T3;10,6
F Construcción;Hombres;Porcentaje;2018T2;10,5
F Construcción;Hombres;Porcentaje;2018T1;10,3
F Construcción;Hombres;Porcentaje;2017T4;10,1
F Construcción;Hombres;Porcentaje;2017T3;10,1
F Construcción;Hombres;Porcentaje;2017T2;10,1
F Construcción;Hombres;Porcentaje;2017T1;9,8
F Construcción;Mujeres;Porcentaje;2019T4;1,2
F Construcción;Mujeres;Porcentaje;2019T3;1,3
F Construcción;Mujeres;Porcentaje;2019T2;1,3
F Construcción;Mujeres;Porcentaje;2019T1;1,3
F Construcción;Mujeres;Porcentaje;2018T4;1,3
F Construcción;Mujeres;Porcentaje;2018T3;1,2
F Construcción;Mujeres;Porcentaje;2018T2;1,2
F Construcción;Mujeres;Porcentaje;2018T1;1,1
F Construcción;Mujeres;Porcentaje;2017T4;1,2
F Construcción;Mujeres;Porcentaje;2017T3;1,2
F Construcción;Mujeres;Porcentaje;2017T2;1,1
F Construcción;Mujeres;Porcentaje;2017T1;1,1
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2019T4;15,7
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2019T3;15,5
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2019T2;15,4
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2019T1;15,5
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2018T4;15,6
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2018T3;15,7
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2018T2;15,4
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2018T1;15,5
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2017T4;15,6
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2017T3;15,9
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2017T2;15,9
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Ambos sexos;Porcentaje;2017T1;16,1
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2019T4;14,7
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2019T3;14,4
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2019T2;14,4
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2019T1;14,6
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2018T4;14,3
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2018T3;14,5
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2018T2;14,3
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2018T1;14,4
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2017T4;14,6
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2017T3;14,6
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2017T2;14,6
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Hombres;Porcentaje;2017T1;14,8
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2019T4;16,9
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2019T3;16,8
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2019T2;16,6
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2019T1;16,6
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2018T4;17,1
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2018T3;17,0
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2018T2;16,8
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2018T1;16,9
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2017T4;16,9
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2017T3;17,5
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2017T2;17,5
G Comercio al por mayor y al por menor, reparación de vehículos de motor y motocicletas;Mujeres;Porcentaje;2017T1;17,8
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2019T4;5,3
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2019T3;5,2
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2019T2;5,2
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2019T1;5,2
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2018T4;5,2
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2018T3;5,0
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2018T2;5,1
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2018T1;5,1
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2017T4;5,0
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2017T3;5,0
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2017T2;4,9
H Transporte y almacenamiento;Ambos sexos;Porcentaje;2017T1;5,1
H Transporte y almacenamiento;Hombres;Porcentaje;2019T4;7,7
H Transporte y almacenamiento;Hombres;Porcentaje;2019T3;7,7
H Transporte y almacenamiento;Hombres;Porcentaje;2019T2;7,7
H Transporte y almacenamiento;Hombres;Porcentaje;2019T1;7,7
H Transporte y almacenamiento;Hombres;Porcentaje;2018T4;7,7
H Transporte y almacenamiento;Hombres;Porcentaje;2018T3;7,4
H Transporte y almacenamiento;Hombres;Porcentaje;2018T2;7,6
H Transporte y almacenamiento;Hombres;Porcentaje;2018T1;7,6
H Transporte y almacenamiento;Hombres;Porcentaje;2017T4;7,4
H Transporte y almacenamiento;Hombres;Porcentaje;2017T3;7,4
H Transporte y almacenamiento;Hombres;Porcentaje;2017T2;7,3
H Transporte y almacenamiento;Hombres;Porcentaje;2017T1;7,6
H Transporte y almacenamiento;Mujeres;Porcentaje;2019T4;2,3
H Transporte y almacenamiento;Mujeres;Porcentaje;2019T3;2,2
H Transporte y almacenamiento;Mujeres;Porcentaje;2019T2;2,2
H Transporte y almacenamiento;Mujeres;Porcentaje;2019T1;2,3
H Transporte y almacenamiento;Mujeres;Porcentaje;2018T4;2,2
H Transporte y almacenamiento;Mujeres;Porcentaje;2018T3;2,1
H Transporte y almacenamiento;Mujeres;Porcentaje;2018T2;2,0
H Transporte y almacenamiento;Mujeres;Porcentaje;2018T1;2,1
H Transporte y almacenamiento;Mujeres;Porcentaje;2017T4;2,1
H Transporte y almacenamiento;Mujeres;Porcentaje;2017T3;2,1
H Transporte y almacenamiento;Mujeres;Porcentaje;2017T2;2,1
H Transporte y almacenamiento;Mujeres;Porcentaje;2017T1;2,1
I Hostelería;Ambos sexos;Porcentaje;2019T4;8,5
I Hostelería;Ambos sexos;Porcentaje;2019T3;9,3
I Hostelería;Ambos sexos;Porcentaje;2019T2;8,8
I Hostelería;Ambos sexos;Porcentaje;2019T1;8,1
I Hostelería;Ambos sexos;Porcentaje;2018T4;8,5
I Hostelería;Ambos sexos;Porcentaje;2018T3;9,5
I Hostelería;Ambos sexos;Porcentaje;2018T2;9,1
I Hostelería;Ambos sexos;Porcentaje;2018T1;8,3
I Hostelería;Ambos sexos;Porcentaje;2017T4;8,7
I Hostelería;Ambos sexos;Porcentaje;2017T3;9,2
I Hostelería;Ambos sexos;Porcentaje;2017T2;8,8
I Hostelería;Ambos sexos;Porcentaje;2017T1;8,1
I Hostelería;Hombres;Porcentaje;2019T4;7,3
I Hostelería;Hombres;Porcentaje;2019T3;8,0
I Hostelería;Hombres;Porcentaje;2019T2;7,4
I Hostelería;Hombres;Porcentaje;2019T1;6,9
I Hostelería;Hombres;Porcentaje;2018T4;7,3
I Hostelería;Hombres;Porcentaje;2018T3;8,2
I Hostelería;Hombres;Porcentaje;2018T2;7,9
I Hostelería;Hombres;Porcentaje;2018T1;7,1
I Hostelería;Hombres;Porcentaje;2017T4;7,5
